"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Uba2","19.88642","19.97269","19.96174","19.37985","19.36145","19.85097","19.43702","19.87015","18.90046","20.89822","19.35749","17.46424","17.46424","21.00421","17.47046","20.39386","17.39907","19.27701","18.88967","18.46624","19.23894","19.32958","18.35559","19.32081","20.17711","19.99684","19.23499","20.02739","19.00874"
"Aimp1","18.77134","19.18289","18.52131","18.74408","18.26614","17.94808","17.67503","17.39907","16.96361","17.07048","16.94984","19.41838","17.46424","19.36908","17.47046","17.45309","19.10773","19.13349","19.47955","17.73248","19.41212","19.47955","19.23499","19.41838","18.62767","18.50152","19.82317","19.83411","20.72878"
"Epha4","19.37985","19.32401","19.30826","18.89550","19.12482","19.87015","15.61702","19.08209","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.35366","19.05843","19.51061","18.92066","19.00874","18.77768","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Slc7a5","17.85407","17.99766","18.27775","17.94808","19.11284","16.22936","15.61702","18.70420","18.98146","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.59569","18.52131","18.73845","18.26614","17.89002","17.85741","17.61742","15.66163","17.87950","15.23540","16.45865","16.29927"
"Tbc1d24","20.10784","19.70043","19.23894","19.83411","19.78708","17.45577","20.81034","19.52938","20.63760","20.38990","21.13570","17.46424","17.46424","17.44687","17.47046","19.74390","17.39907","19.90880","20.62208","20.96765","20.91788","20.97747","23.20028","20.60576","21.09500","18.33691","20.45420","20.32780","20.47899"
"Rab5b","17.85741","17.43236","17.47720","17.28440","17.78433","18.39184","17.22475","18.29435","16.96361","17.07048","18.51670","20.77948","20.81648","20.55896","20.79144","20.53809","20.73568","19.89634","19.49255","19.92539","18.13765","18.99918","17.84303","19.39672","18.51057","16.50828","17.15884","17.85741","18.33303"
"Rbm3","18.82823","18.90866","18.96142","19.63079","19.97666","16.22936","19.69402","19.74390","20.03438","17.07048","20.57240","21.60611","21.50412","21.62792","21.55624","21.56197","21.37194","18.48508","18.09348","17.47720","18.81503","18.06865","18.53466","13.11983","20.08735","20.02441","18.78887","20.18880","20.05993"
"Ccdc88a","17.024081","15.415283","16.909396","15.152258","15.760376","16.229362","15.617022","18.956422","18.872331","20.572398","16.949836","17.464240","17.464240","19.182888","17.470465","19.425482","19.990789","17.530490","17.857407","17.035822","16.845549"," 6.848008","16.361086","13.119830","17.081799","16.508282","15.235399","17.898126","16.299267"
"Tbcb","18.10176","18.44213","17.91425","17.59552","17.25053","19.60254","18.85408","17.30969","16.96361","19.43001","19.65677","17.46424","17.46424","19.63079","19.53504","19.48915","19.40196","18.62344","16.30529","17.90849","17.48469","17.45041","18.59186","20.24945","19.64804","18.94203","18.96696","16.45865","16.29927"
"Slc6a1","14.56489","17.76747","18.88967","16.54062","17.29136","19.51799","18.60977","18.48909","18.45391","17.07048","16.94984","17.46424","17.46424","20.13926","19.88274","20.30188","19.49752","20.37478","20.16190","20.65261","20.40094","20.20545","19.85097","20.92841","19.03401","16.50828","19.43001","16.45865","18.11577"
"Elp2","18.72649","18.72172","18.47329","15.15226","18.97252","20.08735","15.61702","16.12607","18.50152","18.94203","18.72649","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.16190","20.24274","19.99684","21.35994","20.42672","20.40570","18.97553","18.35559","16.50828","15.23540","16.45865","16.29927"
"Cyb5a","19.28540","18.41568","18.93507","18.76709","18.99729","16.22936","15.61702","19.52241","19.53504","19.87269","19.34950","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.55690","19.32081","19.79600","16.53008","19.48289","17.62452","18.40890","18.73295","16.50828","17.56664","16.45865","17.93407"
"Farsb","18.88364","19.87269","19.28540","19.15404","20.22436","20.65261","20.16190","19.77651","21.38114","21.16617","16.94984","21.96829","21.72312","21.99434","21.30882","21.38114","22.00921","18.74926","18.96142","18.67038","18.40890","18.54704","17.04290","17.74382","19.58586","19.56662","19.03110","20.73568","20.91058"
"Gm20431","20.74995","20.35308","21.03878","21.35994","21.16617","21.59029","20.36633","20.81648","20.27791","20.75624","19.94403","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","21.74633","21.99434","21.88752","21.65434","21.68722","21.44549","21.03878","20.63155","19.46540","21.30882","20.65261","19.79999"
"Ddah1","20.66773","20.53221","20.81648","20.15570","20.35593","21.53365","20.55482","21.43453","20.71619","17.07048","19.75059","17.46424","19.43001","17.44687","17.47046","17.45309","17.39907","19.77078","19.46144","20.47015","20.46631","20.35593","20.80481","20.60075","20.42672","19.80605","19.33641","19.95233","19.09194"
"Srgap3","16.41872","16.92130","17.04884","16.99664","15.76038","17.82091","17.17345","17.82091","16.96361","17.07048","18.48909","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.38255","18.50152","18.29882","18.69129","18.55409","19.41838","17.38224","15.66163","16.50828","15.23540","16.45865","16.29927"
"Daam1","17.89002","18.15624","18.09004","18.09699","17.50743","17.91425","18.86029","18.80889","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.19547","17.46688","16.12607","18.77768","18.42216","16.79432","16.50447","18.50655","16.50828","17.62017","16.45865","17.78811"
"Nsdhl","19.270546","19.386708","18.989935","16.485955","17.461592","16.229362","18.930475","17.357745","21.308818","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008"," 6.848008"," 6.848008","17.474037","15.575513","17.794666","16.885021","15.661630","18.090043","17.024081","16.458650","20.034377"
"Psat1","19.56662","19.23499","19.78708","19.51467","19.19446","16.22936","17.89813","16.12607","16.96361","18.85408","18.68302","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.67490","19.60710","19.33948","20.13702","19.79999","19.48915","20.80481","19.85861","19.54704","20.29038","19.17460","20.46005"
"Tmem30a","18.44213","18.97553","19.29896","18.83463","18.84679","19.90880","15.61702","19.48915","16.96361","17.07048","16.94984","17.46424","19.39160","17.44687","17.47046","17.45309","19.08802","18.04051","19.06240","18.31500","18.30926","19.27243","17.23065","17.89002","15.66163","19.46144","18.43143","18.70420","19.00338"
"Mapre3","20.01389","20.60075","19.46144","20.46631","21.54945","16.22936","20.84687","19.73487","21.86021","17.07048","20.46005","19.67812","17.46424","17.44687","17.47046","17.45309","17.39907","19.08475","18.77510","18.58780","19.48915","19.40196","20.07920","20.70531","21.86021","22.15594","21.42679","21.79893","22.34014"
"Rtn3","22.92114","22.67317","22.74305","22.58822","23.20028","22.18833","23.03101","22.14105","21.64754","21.49039","22.81324","20.10109","17.46424","19.76111","17.47046","17.45309","17.39907","22.26593","22.37173","22.20564","22.52657","22.54699","21.62792","21.71159","23.18063","22.36222","21.56197","22.53462","21.75197"
"Rdx","21.18138","21.14803","21.04641","20.52636","21.57602","20.51988","20.83045","20.58220","19.20034","20.60576","21.60611","20.84149","21.45160","21.03878","21.09500","20.65909","20.81034","19.80605","19.97269","20.24274","19.03401","19.95703","19.25248","19.18289","21.11363","17.98447","19.39160","20.17711","17.81240"
"Tom1l2","16.87892","16.62793","16.72388","15.15226","17.12332","16.22936","18.21654","16.12607","16.96361","17.07048","18.77510","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","14.31439","17.58178","15.74664","17.09902","15.66163","14.97892","18.09348","19.25248","19.89112","18.51057","19.27992","19.03110"
"Pacs1","17.74877","17.98083","19.36908","18.06865","17.79467","16.22936","18.34994","17.67975","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.24342","18.32793","18.38023","18.09699","17.74382","18.50152","18.12750","17.35774","16.50828","17.41473","16.45865","16.29927"
"Txn","20.24945","21.01657","21.02646","20.13926","20.16970","21.61410","21.19341","21.79893","21.96829","21.54945","21.72312","19.43702","17.46424","19.30826","17.47046","19.60710","19.12912","19.28949","20.14354","20.27791","19.79110","20.29038","20.65261","19.90260","20.29644","17.93407","19.52938","20.38104","19.98233"
"Rpl28","20.63155","19.64365","19.72870","20.70531","19.08802","20.20846","18.62344","19.67812","19.27243","21.35994","19.67812","21.79893","21.41515","21.91073","21.47962","21.59757","21.51332","20.58704","20.63760","20.63155","20.60576","20.85824","20.34540","20.96765","19.98233","19.03913","20.30803","18.89550","18.88967"
"Rpn2","18.10672","18.48508","17.26860","17.79467","15.76038","18.07676","17.45577","16.12607","19.62610","19.74390","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.12332","18.00835","17.94327","18.32793","18.20107","17.46159","16.94502","18.23329","16.50828","17.66524","19.06240","18.92066"
"Esd","14.56489","16.87892","16.96361","16.68110","17.09372","17.77386","15.61702","16.12607","21.80482","20.74995","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.48198","17.18209","17.08180","18.09004","17.38788","18.56699","16.79432","18.25838","19.84037","18.10176","16.45865","21.30598"
"Psme1","21.98092","22.16226","22.24687","22.01899","22.61579","22.24687","23.21334","22.09833","23.32988","23.42883","22.07044","21.69790","21.91073","21.85199","21.51931","21.83092","21.66337","19.98233","21.08568","20.57833","20.82518","21.18138","21.35516","20.33492","20.73568","21.96829","20.38990","22.63832","22.72633"
"Slc25a3","17.55421","19.38255","18.84086","19.40196","18.67961","19.93856","20.04871","20.64333","19.73487","18.84996","18.34042","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.18456","18.33303","17.87133","18.24837","18.19078","17.89002","21.13179","20.90483","21.82088","21.41515","19.23894","20.23766"
"Cirbp","16.82763","15.41528","15.49309","15.15226","15.76038","16.22936","17.47404","16.12607","16.96361","17.07048","16.94984","20.37478","21.26213","21.26863","21.03201","21.00421","20.98786","15.89192","13.61023","12.97221","15.42286","14.50446","14.73418","16.38920","17.25945","16.50828","16.89858","16.45865","16.29927"
"Ptpa","14.56489","15.41528","15.49309","16.92750","18.14676","20.20545","17.53755","16.12607","20.31997","17.07048","16.94984","17.46424","17.46424","17.44687","20.44849","20.47015","17.39907","16.73529","17.60980","17.89435","17.39907","17.91982","17.04884","17.91982","19.10773","16.50828","19.48915","16.45865","18.56263"
"Rpl22l1","17.477202","15.415283","17.093719","15.152258","15.760376","16.229362","17.216702","16.126067","16.963611","17.070477","16.949836","22.314182","21.619841","22.256564","21.768176","22.162263","21.751967"," 6.848008"," 6.848008","16.699830","15.940848"," 6.848008","14.836013","15.891919","17.808447","18.926753","15.235399","20.237661","21.262131"
"Ermn","14.564894","17.403535","15.493092","17.458690","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008","15.129111","14.564894","18.055434","17.216702","17.151013","20.277906","18.961424","16.508282","19.401958","18.387884","19.343026"
"Kif1a","20.42379","20.02739","20.55896","20.05499","19.35366","20.78593","15.61702","16.12607","20.37002","20.79144","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.13181","20.69536","20.29038","21.14218","20.55896","20.77237","18.31500","17.82812","16.50828","17.77386","16.45865","16.29927"
"Nipsnap1","18.398499","19.194464","18.275866","18.997289","15.760376","16.229362","20.139263","16.126067","19.902601","22.457473","23.411182","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008"," 6.848008"," 6.848008"," 6.848008","17.167056","17.563948","18.025343","15.661630","19.656765","19.382550","20.940282","16.299267"
"Pdxp","17.69319","18.09004","17.78811","17.08698","17.39268","16.22936","18.03745","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.81240","17.97373","17.04290","19.04437","17.87950","18.70058","18.67961","19.08209","19.55145","19.25248","19.00874","16.29927"
"Rras2","19.12482","19.57395","19.37985","19.33641","18.91124","19.94403","18.46941","19.90880","19.46144","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.14839","20.42379","20.02739","19.75600","20.21411","19.59701","20.61716","19.96174","19.23008","19.35749","20.33492","19.31401"
"Tpm3","21.04641","20.60576","20.85824","20.74995","20.50517","22.26593","21.06029","22.02631","21.21292","21.12263","20.81988","17.46424","19.93105","19.92121","19.95233","17.45309","20.02045","21.83092","21.63448","21.04641","21.26213","21.33497","21.04641","20.37478","19.90260","18.86661","20.14354","18.08018","19.53740"
"Scamp3","14.56489","18.22220","17.07558","17.31380","18.25838","16.22936","18.25218","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.92675","18.35559","17.25409","18.48508","18.71854","17.19547","18.08671","17.78433","18.57728","15.23540","16.45865","16.29927"
"Cldn11","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","17.576962","16.963611","18.834627","19.097675","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008"," 6.848008"," 6.848008"," 6.848008"," 6.848008"," 6.848008","22.726328","22.895789","23.044181","22.975995","23.165761","21.851987"
"Mgst3","14.56489","15.41528","15.49309","16.63983","15.76038","17.96409","19.09194","19.27701","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.10109","19.37401","18.93507","14.61330","19.36583","16.34335","19.05296","19.24392","19.36583","19.92121","19.54704","19.50724"
"Cdc42bpb","17.67503","18.98146","18.18456","18.37337","17.73683","16.22936","18.55686","16.12607","16.96361","17.07048","20.46631","17.46424","17.46424","17.44687","20.34071","17.45309","17.39907","17.30969","17.75327","17.33248","16.47445","18.86029","15.51847","13.11983","19.15404","16.50828","18.21323","18.29435","19.32958"
"Gphn","17.44687","17.53049","17.40353","17.09372","17.21670","19.55145","18.53466","18.63453","16.96361","17.07048","18.74408","21.08568","20.86071","21.88020","20.87484","17.45309","21.70348","19.25783","19.32401","19.25783","20.05993","19.20034","20.13702","18.71854","18.03745","16.50828","17.98083","18.92675","18.63453"
